Item,Item_Type,Item_Tier,Cost,Total_Cost,Stats,Passive_Effect
Bancroft's Claw,"Offensive, Utility",Glyph,600,3100,+80 Magical Power +200 Mana +15% Magical Lifesteal,"You gain additional Magical Power and Lifesteal scaled from missing Health. This caps at 70 power and 15% Lifesteal at 40% Health. GLYPH - Every 15s gain a stack of Hunger(max 3). Abilities cast within 30 units of enemy gods consume a stack, dealing bonus damage equal to 0.5% of their max HP for each 75 Magical Power you have. Each god damaged by Hunger provides you with a shield of 0.5% of your Max HP for each 75 Magical Power you have. This cannot exceed 35% of your Max HP."
Nimble Bancroft's Talon,"Offensive, Utility",Glyph,600,3100,+80 Magical Power +200 Mana +15% Magical Lifesteal,"You gain additional Magical Power and Lifesteal scaled from missing Health. This caps at 70 power and 15% Lifesteal at 40% Health. GLYPH - For every 30 Magical Power you have, you gain 2% Attack Speed."
Calamitous Rod of Tahuti,"Offensive, Utility",Glyph,600,3450,+115 Magical Power +30 MP5 +10% Magical Penetration,"Basic Attacks and Abilities gain 15% additional Magical Power against targets below 60% Health. GLYPH - Successfully hitting an enemy god with an ability calls down a meteor that lands after 1s, dealing 100 (+35% of your Magical Power) damage in a 15 unit radius. This effect can only occur once every 15s."
Perfected Rod of Tahuti,"Offensive, Utility",Glyph,600,3450,+115 Magical Power +30 MP5 +10% Magical Penetration,Basic Attacks and Abilities gain 15% additional Magical Power against targets below 60% Health. GLYPH - Successfully damaging an enemy god with an ability applies a mark for 3s. Damaging them a second time with an ability consumes the mark and provides you 10% movement speed for 3s and reduces your ability cooldowns by 1.5s. Only one mark can be active at a time and cannot be applied for 6s after consuming a mark.
Devoted Deathbringer,"Offensive, Utility",Glyph,600,3500,+30 Physical Power +30% Critical Strike Chance,"Critical Strike bonus damage dealt is increased by 25%. GLYPH - Your Critical Strike Chance is multiplied by 1.2. For each 5% Critical Strike Chance you go over 100% Critical Strike Chance, you gain 5 Physical Power."
Malicious Deathbringer,"Offensive, Utility",Glyph,600,3500,+30 Physical Power +30% Critical Strike Chance,"Critical Strike bonus damage dealt is increased by 25%. GLYPH - Successfully hitting an Enemy God with a Critical Strike will subtract 1s from all of your abilities currently on cooldown, except your ultimate ability."
Evolved Book of Thoth,"Offensive, Utility",Evolved,,,+60 Magical Power +10 Magical Penetration +800 Mana +20 MP5,You gain Magical Power equal to 7% of your Mana from items.
Evolved Charon's Coin,"Offensive, Defensive, Utility",Evolved,,,+75 Magical Power +35 HP5 & MP5 +20% Magical Penetration +8% Movement Speed,"On god kill or assist a coin is flipped. If heads, you gain 150 Health over 6 seconds. If tails, you gain 5% Movement Speed for 6 seconds. You also gain 1 gold every time the coin is flipped."
Evolved Devourer's Gauntlet,Offensive,Evolved,,,+50 Physical Power +22.5% Physical Lifesteal +15 Physical Penetration,
Evolved Gauntlet of Thebes,"Defensive, Utility",Evolved,,,+200 Health +45 Physical Protection +45 Magical Protection +15 HP5,AURA - Allies within 70 units receive 10 Physical Protection and 10 Magical Protection.
Evolved Prophetic Cloak,"Defensive, Utility",Evolved,,,+40 Physical Protection +40 Magical Protection +100 Health +10% Cooldown Reduction,"AURA - Allies within 70 units gain 20 Physical and Magical Protections. If you have over 325 total Protections, you gain 7.5% Damage Mitigation. If you have over 525 total Protections, you gain an additional 7.5% Damage Mitigation."
Evolved Rage,Offensive,Evolved,,,+45 Physical Power +45% Critical Strike Chance,
Evolved Soul Eater,"Offensive, Utility",Evolved,,,+50 Physical Power +15% Physical Lifesteal +10 Physical Penetration +10% Cooldown Reduction,Your abilities heal you for 15% of the damage dealt to targets.
Evolved Transcendence,"Offensive, Utility",Evolved,,,+25 Physical Power +1050 Mana +10 MP5 +10 Physical Penetration,You gain Physical Power equal to 2% of your Maximum Mana.
Evolved Warlock's Staff,"Offensive, Defensive, Utility",Evolved,,,+80 Magical Power +400 Health +200 Mana +10% Magical Penetration,
